technology,nominal_depth,error_rate,min_freq,p_threshold,seed,kind,sites,callable_sites,raw_joint_cov5,true_differences,true_diff_callable,recovered_differences,masked_differences,uncallable_differences,false_differences,same_callable,popani,true_ani_callable
ont_Q20,1000,0.001,0.0,0.05,11,different,18000,18000,18000,180,180,86,94,0,0,17820,99.52222222222224,99.0
ont_Q20,1000,0.001,0.0,1e-06,11,different,18000,18000,18000,180,180,169,11,0,0,17820,99.06111111111112,99.0
ont_Q20,1000,0.001,0.01,0.05,11,different,18000,18000,18000,180,180,177,3,0,0,17820,99.01666666666668,99.0
ont_Q20,1000,0.001,0.01,1e-06,11,different,18000,18000,18000,180,180,177,3,0,0,17820,99.01666666666668,99.0
ont_Q25,10,0.001,0.0,0.05,11,different,18000,17869,17869,180,179,175,4,1,0,17690,99.02065028820864,98.99826515193912
ont_Q25,10,0.001,0.0,0.05,29,different,18000,17041,17041,180,167,165,2,13,0,16874,99.03174696320636,99.0200105627604
ont_Q25,10,0.001,0.0,0.05,0,identical_A,18000,17865,17865,0,0,0,0,0,0,17865,100.0,100.0
ont_Q25,10,0.001,0.0,0.05,0,identical_B,18000,17055,17055,0,0,0,0,0,0,17055,100.0,100.0
ont_Q25,10,0.001,0.0,1e-06,11,different,18000,17865,17869,180,179,179,0,1,0,17686,98.9980408620207,98.9980408620207
ont_Q25,10,0.001,0.0,1e-06,29,different,18000,17038,17041,180,167,167,0,13,0,16871,99.019838009156,99.019838009156
ont_Q25,10,0.001,0.0,1e-06,0,identical_A,18000,17864,17865,0,0,0,0,0,0,17864,100.0,100.0
ont_Q25,10,0.001,0.0,1e-06,0,identical_B,18000,17050,17055,0,0,0,0,0,0,17050,100.0,100.0
ont_Q25,10,0.001,0.01,0.05,11,different,18000,17869,17869,180,179,175,4,1,0,17690,99.02065028820864,98.99826515193912
ont_Q25,10,0.001,0.01,0.05,29,different,18000,17041,17041,180,167,165,2,13,0,16874,99.03174696320636,99.0200105627604
ont_Q25,10,0.001,0.01,0.05,0,identical_A,18000,17865,17865,0,0,0,0,0,0,17865,100.0,100.0
ont_Q25,10,0.001,0.01,0.05,0,identical_B,18000,17055,17055,0,0,0,0,0,0,17055,100.0,100.0
ont_Q25,10,0.001,0.01,1e-06,11,different,18000,17865,17869,180,179,179,0,1,0,17686,98.9980408620207,98.9980408620207
ont_Q25,10,0.001,0.01,1e-06,29,different,18000,17038,17041,180,167,167,0,13,0,16871,99.019838009156,99.019838009156
ont_Q25,10,0.001,0.01,1e-06,0,identical_A,18000,17864,17865,0,0,0,0,0,0,17864,100.0,100.0
ont_Q25,10,0.001,0.01,1e-06,0,identical_B,18000,17050,17055,0,0,0,0,0,0,17050,100.0,100.0
ont_Q25,30,0.001,0.0,0.05,11,different,18000,18000,18000,180,180,173,7,0,0,17820,99.03888888888888,99.0
ont_Q25,30,0.001,0.0,0.05,29,different,18000,18000,18000,180,180,177,3,0,0,17820,99.01666666666668,99.0
ont_Q25,30,0.001,0.0,0.05,0,identical_A,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q25,30,0.001,0.0,0.05,0,identical_B,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q25,30,0.001,0.0,1e-06,11,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
ont_Q25,30,0.001,0.0,1e-06,29,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
ont_Q25,30,0.001,0.0,1e-06,0,identical_A,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q25,30,0.001,0.0,1e-06,0,identical_B,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q25,30,0.001,0.01,0.05,11,different,18000,18000,18000,180,180,173,7,0,0,17820,99.03888888888888,99.0
ont_Q25,30,0.001,0.01,0.05,29,different,18000,18000,18000,180,180,177,3,0,0,17820,99.01666666666668,99.0
ont_Q25,30,0.001,0.01,0.05,0,identical_A,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q25,30,0.001,0.01,0.05,0,identical_B,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q25,30,0.001,0.01,1e-06,11,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
ont_Q25,30,0.001,0.01,1e-06,29,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
ont_Q25,30,0.001,0.01,1e-06,0,identical_A,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q25,30,0.001,0.01,1e-06,0,identical_B,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q25,100,0.001,0.0,0.05,11,different,18000,18000,18000,180,180,157,23,0,0,17820,99.12777777777778,99.0
ont_Q25,100,0.001,0.0,0.05,29,different,18000,18000,18000,180,180,166,14,0,0,17820,99.07777777777778,99.0
ont_Q25,100,0.001,0.0,0.05,0,identical_A,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q25,100,0.001,0.0,0.05,0,identical_B,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q25,100,0.001,0.0,1e-06,11,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
ont_Q25,100,0.001,0.0,1e-06,29,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
ont_Q25,100,0.001,0.0,1e-06,0,identical_A,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q25,100,0.001,0.0,1e-06,0,identical_B,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q25,100,0.001,0.01,0.05,11,different,18000,18000,18000,180,180,169,11,0,0,17820,99.06111111111112,99.0
ont_Q25,100,0.001,0.01,0.05,29,different,18000,18000,18000,180,180,173,7,0,0,17820,99.03888888888888,99.0
ont_Q25,100,0.001,0.01,0.05,0,identical_A,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q25,100,0.001,0.01,0.05,0,identical_B,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q25,100,0.001,0.01,1e-06,11,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
ont_Q25,100,0.001,0.01,1e-06,29,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
ont_Q25,100,0.001,0.01,1e-06,0,identical_A,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q25,100,0.001,0.01,1e-06,0,identical_B,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q25,300,0.001,0.0,0.05,11,different,18000,18000,18000,180,180,174,6,0,0,17820,99.03333333333332,99.0
ont_Q25,300,0.001,0.0,0.05,29,different,18000,18000,18000,180,180,177,3,0,0,17820,99.01666666666668,99.0
ont_Q25,300,0.001,0.0,0.05,0,identical_A,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q25,300,0.001,0.0,0.05,0,identical_B,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q25,300,0.001,0.0,1e-06,11,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
ont_Q25,300,0.001,0.0,1e-06,29,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
ont_Q25,300,0.001,0.0,1e-06,0,identical_A,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q25,300,0.001,0.0,1e-06,0,identical_B,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q25,300,0.001,0.01,0.05,11,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
ont_Q25,300,0.001,0.01,0.05,29,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
ont_Q25,300,0.001,0.01,0.05,0,identical_A,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q25,300,0.001,0.01,0.05,0,identical_B,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q25,300,0.001,0.01,1e-06,11,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
ont_Q25,300,0.001,0.01,1e-06,29,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
ont_Q25,300,0.001,0.01,1e-06,0,identical_A,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q25,300,0.001,0.01,1e-06,0,identical_B,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
